lib_zone,val_no2,val_so2,val_o3,val_pm10,val_pm25
CA Als,1.0,0,3.0,2.0,0
CA Als,1.0,0,5.0,2.0,0
CA Als,1.0,0,6.0,3.0,0
CA Als,1.0,0,3.0,3.0,0
CA Als,1.0,0,3.0,3.0,0
CA Als,1.0,0,5.0,2.0,0
CA Als,1.0,0,5.0,3.0,0
CA Als,,0,,,0
CA Als,,0,,,0
CA Als,,0,,,0
CA Als,1.0,0,5.0,2.0,0
CA Als,1.0,0,3.0,3.0,0
CA Als,1.0,0,4.0,2.0,0
CA Als,1.0,0,5.0,2.0,0
CA Als,1.0,0,4.0,3.0,0
CA Als,1.0,0,3.0,2.0,0
CA Als,1.0,0,3.0,3.0,0
CA Als,1.0,0,4.0,2.0,0
CA Als,1.0,0,4.0,2.0,0
CA Als,1.0,0,4.0,2.0,0
CA Als,1.0,0,4.0,2.0,0
CA Als,1.0,0,3.0,3.0,0
CA Als,1.0,0,4.0,2.0,0
CA Als,1.0,0,3.0,2.0,0
CA Als,1.0,0,4.0,3.0,0
CA Als,1.0,0,4.0,2.0,0
CA Als,1.0,0,4.0,2.0,0
CA Als,1.0,0,3.0,2.0,0
CA Als,1.0,0,4.0,2.0,0
CA Als,1.0,0,5.0,2.0,0
CA Als,1.0,0,6.0,3.0,0
CA Als,1.0,0,3.0,1.0,0
CA Als,1.0,0,4.0,2.0,0
CA Als,1.0,0,3.0,3.0,0
CA Als,1.0,0,3.0,3.0,0
CA Als,1.0,0,4.0,2.0,0
CA Als,1.0,0,3.0,2.0,0
CA Als,1.0,0,3.0,2.0,0
CA Als,,0,,,0
CA Als,1.0,0,5.0,3.0,0
CA Als,1.0,0,5.0,3.0,0
CA Als,1.0,0,4.0,3.0,0
CA Als,1.0,0,3.0,3.0,0
CA Als,1.0,0,5.0,3.0,0
CA Als,1.0,0,4.0,2.0,0
CA Als,1.0,0,3.0,3.0,0
CA Als,1.0,0,4.0,2.0,0
CA Als,1.0,0,3.0,2.0,0
CA Als,1.0,0,3.0,2.0,0
CA Als,1.0,0,3.0,3.0,0
CA Als,1.0,0,4.0,2.0,0
CA Als,1.0,0,5.0,2.0,0
CA Als,1.0,0,6.0,2.0,0
CA Als,1.0,0,5.0,2.0,0
CA Als,1.0,0,5.0,2.0,0
CA Als,1.0,0,5.0,2.0,0
CA Als,1.0,0,3.0,2.0,0
CA Als,1.0,0,3.0,2.0,0
CA Als,1.0,0,3.0,2.0,0
CA Als,1.0,0,3.0,2.0,0
CA Als,1.0,0,3.0,4.0,0
CA Als,,0,,,0
CA Als,1.0,0,3.0,1.0,0
CA Als,1.0,0,5.0,2.0,0
CA Als,1.0,0,4.0,2.0,0
CA Als,1.0,0,4.0,2.0,0
CA Als,1.0,0,3.0,3.0,0
CA Als,1.0,0,4.0,2.0,0
CA Als,1.0,0,5.0,2.0,0
CA Als,1.0,0,3.0,3.0,0
CA Als,1.0,0,6.0,2.0,0
CA Als,1.0,0,5.0,3.0,0
CA Als,1.0,0,4.0,4.0,0
CA Als,,0,,,0
CA Als,1.0,0,5.0,3.0,0
CA Als,,0,,,0
CA Als,,0,,,0
CA Als,,0,,,0
